cellName,coverage_bool_vcf,depth_vcf,coverage_bool_gvcf,depth_gvcf
A10_1001000407,1,['4'],1,['4']
A10_1001000408,0,0,0,0
A10_1001000412,1,"['2', '8', '4']",1,"['2', '8', '4']"
A10_B000863,0,0,0,0
A10_B001470,1,7,1,7
A10_B001545,1,"['7', '4', '13', '4', '5', '8']",1,"['7', '4', '13', '4', '5', '8']"
A10_B001548,0,0,0,0
A10_B001554,0,0,0,0
A10_B002572,0,0,0,0
A10_B003115,0,0,0,0
A10_B003527,0,0,0,0
A10_B003528,0,0,0,0
A10_B003529,0,0,0,0
A10_B003588,1,19,1,19
A11_1001000407,1,"['6', '6', '12', '18', '21', '14', '5']",1,"['6', '6', '12', '18', '21', '14', '5']"
A11_B001470,0,0,0,0
A11_B001474,0,0,0,0
A11_B001545,0,0,0,0
A11_B002077,0,0,0,0
A11_B002079,0,0,0,0
A11_B002573,0,0,0,0
A11_B003067,0,0,0,0
A11_B003115,0,0,0,0
A11_B003119,0,0,0,0
A11_B003518,0,0,0,0
A11_B003523,0,0,0,0
A11_B003528,0,0,0,0
A12_1001000317,1,2,1,2
A12_1001000412,1,"['9', '7']",1,"['13', '11', '8', '7']"
A12_B002078,0,0,0,0
A12_B002572,0,0,0,0
A12_B003070,1,7,1,7
A12_B003105,0,0,0,0
A12_B003119,0,0,0,0
A13_1001000407,1,"['2', '8', '12', '12', '17']",1,"['5', '6', '17', '23', '38']"
A13_B000420,0,0,0,0
A13_B002079,0,0,0,0
A13_B003103,0,0,0,0
A13_B003518,0,0,0,0
A13_B003771,0,0,0,0
A13_B003894,0,0,0,0
A14_1001000339,1,['1'],1,['1']
A14_1001000340,1,['14'],1,['14']
A14_1001000407,1,22,0,0
A14_1001000408,0,0,1,['3']
A14_1001000412,1,"['2', '5', '16', '14', '14', '4', '13']",1,"['3', '7', '21', '17', '22', '33']"
A14_B001016,0,0,0,0
A14_B002078,0,0,0,0
A14_B002079,1,3,1,3
A14_B003105,0,0,0,0
A14_B003112,0,0,0,0
A14_B003132,1,2,1,2
A14_B003187,0,0,0,0
A14_B003191,0,0,0,0
A14_B003518,1,"['13', '13', '15', '21', '14']",1,"['13', '13', '13', '21', '14']"
A14_B003529,0,0,0,0
A14_B003771,1,['2'],1,['2']
A14_B003776,0,0,0,0
A14_B003930,0,0,0,0
A15_1001000407,0,0,1,['3']
A15_1001000408,1,4,1,"['4', '2', '3', '3']"
A15_B000420,0,0,0,0
A15_B001557,0,0,0,0
A15_B002073,0,0,0,0
A15_B002074,0,0,0,0
A15_B002078,1,"['2', '6']",1,"['2', '6']"
A15_B002079,0,0,0,0
A15_B003105,1,42,1,42
A15_B003112,0,0,0,0
A15_B003116,0,0,0,0
A15_B003125,1,13,1,13
A15_B003126,0,0,0,0
A15_B003129,1,"['62', '25']",1,"['62', '25']"
A15_B003191,0,0,0,0
A15_B003518,1,['6'],1,['6']
A15_B003522,0,0,0,0
A15_B003527,1,4,1,4
A15_B003771,1,5,1,5
A15_B003894,0,0,0,0
A15_B003920,0,0,0,0
A16_1001000412,1,"['6', '9', '5', '5', '13', '12', '16', '16', '16', '19', '21', '10']",1,"['4', '12', '21', '6', '10', '29', '5', '30', '30', '29', '21']"
A16_B001007,0,0,0,0
A16_B001010,0,0,0,0
A16_B002073,0,0,0,0
A16_B002074,1,4,1,4
A16_B003112,0,0,0,0
A16_B003116,0,0,0,0
A16_B003120,0,0,0,0
A16_B003125,0,0,0,0
A16_B003129,0,0,0,0
A16_B003187,0,0,0,0
A16_B003191,0,0,0,0
A16_B003654,0,0,0,0
A16_B003775,0,0,0,0
A16_B003777,0,0,0,0
A16_B003894,0,0,0,0
A16_B003930,1,"['33', '84', '77']",1,"['33', '84', '77']"
A16_B003995,0,0,0,0
A17_1001000407,1,"['5', '1', '3', '7']",1,"['29', '16', '1', '10', '9', '5', '11', '11', '11', '12', '12']"
A17_1001000408,1,"['3', '2', '4']",1,"['2', '4', '3', '6']"
